interval_start_local,interval_start_utc,interval_end_local,interval_end_utc,publish_time_local,publish_time_utc,north,south,west,houston,system_total,forecast_date,publish_time_used
2025-03-16 18:00:00-05:00,2025-03-16 23:00:00+00:00,2025-03-16 19:00:00-05:00,2025-03-17 00:00:00+00:00,2025-03-15 14:30:00-05:00,2025-03-15 19:30:00+00:00,14206.068581738278,12903.790992822263,8720.03984350586,11994.180293847656,47824.07971191406,2025-03-16,latest
2025-03-16 19:00:00-05:00,2025-03-17 00:00:00+00:00,2025-03-16 20:00:00-05:00,2025-03-17 01:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,13976.911217907715,12464.369986291507,8021.197444824217,11993.160755273437,46455.63940429688,2025-03-16,latest
2025-03-16 20:00:00-05:00,2025-03-17 01:00:00+00:00,2025-03-16 21:00:00-05:00,2025-03-17 02:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,14425.405893347168,12389.893784228516,8149.044413049315,11783.82631953125,46748.17041015625,2025-03-16,latest
2025-03-16 21:00:00-05:00,2025-03-17 02:00:00+00:00,2025-03-16 22:00:00-05:00,2025-03-17 03:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,14208.670771533207,11988.728910314936,8329.581806433107,11548.4887265625,46075.47021484375,2025-03-16,latest
2025-03-16 22:00:00-05:00,2025-03-17 03:00:00+00:00,2025-03-16 23:00:00-05:00,2025-03-17 04:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,13609.0518048584,11349.573852075191,8410.512497753902,11061.191557226563,44430.32971191406,2025-03-16,latest
2025-03-16 23:00:00-05:00,2025-03-17 04:00:00+00:00,2025-03-17 00:00:00-05:00,2025-03-17 05:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,12943.16162097168,10638.201537097168,8339.117593981931,10552.189291894532,42472.67004394531,2025-03-16,latest
2025-03-17 00:00:00-05:00,2025-03-17 05:00:00+00:00,2025-03-17 01:00:00-05:00,2025-03-17 06:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,11763.23032860107,9450.191430371091,8272.628534094238,9830.420165917967,39316.47045898437,2025-03-17,latest
2025-03-17 01:00:00-05:00,2025-03-17 06:00:00+00:00,2025-03-17 02:00:00-05:00,2025-03-17 07:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,11621.918073693849,9105.458884399412,8273.861613000483,9609.551712109376,38610.79028320312,2025-03-17,latest
2025-03-17 02:00:00-05:00,2025-03-17 07:00:00+00:00,2025-03-17 03:00:00-05:00,2025-03-17 08:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,11754.359029589847,8952.122467407225,8297.31891989746,9525.139524511718,38528.93994140625,2025-03-17,latest
2025-03-17 03:00:00-05:00,2025-03-17 08:00:00+00:00,2025-03-17 04:00:00-05:00,2025-03-17 09:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,11764.346513867187,8888.751511584474,8248.524612634277,9541.32743515625,38442.95007324219,2025-03-17,latest
2025-03-17 04:00:00-05:00,2025-03-17 09:00:00+00:00,2025-03-17 05:00:00-05:00,2025-03-17 10:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,12161.784503576662,9045.60512061768,8275.869955493165,9722.4005765625,39205.66015625001,2025-03-17,latest
2025-03-17 05:00:00-05:00,2025-03-17 10:00:00+00:00,2025-03-17 06:00:00-05:00,2025-03-17 11:00:00+00:00,2025-03-16 14:30:00-05:00,2025-03-16 19:30:00+00:00,13114.563971716309,9592.819296972659,8335.76032877197,10164.136920117187,41207.28051757813,2025-03-17,latest
